,id,program_id,zipcode,org_id,min_age,max_age,price,start_date,latitude,longitude
29524,22306,6460,60618,14,3,6,0.0,2016-03-28,41.9464283,-87.70740889999998
29525,22308,6415,60618,14,3,6,0.0,2016-03-31,41.9464283,-87.70740889999998
29526,22329,6468,60626,14,3,6,0.0,2016-03-28,42.0099321,-87.663045
29527,11221,4855,60616,14,6,18,0.0,2015-08-24,41.8403395,-87.6137011
29528,22339,7757,60608,14,3,6,0.0,2016-03-30,41.849212200000004,-87.6713199
29529,22347,8774,60626,14,3,6,0.0,2016-03-30,42.0099321,-87.663045
29530,22357,9981,60638,14,3,6,0.0,2016-03-31,41.78874829999999,-87.7664934
29531,11246,4870,60612,14,6,18,0.0,2015-08-29,41.881660600000004,-87.6926257
29532,22362,9983,60638,14,3,6,0.0,2016-04-01,41.78874829999999,-87.7664934
29533,22363,6035,60641,14,3,6,0.0,2016-04-01,41.9472058,-87.74680710000001
29534,11262,4879,60638,14,6,18,0.0,2015-08-10,41.78874829999999,-87.7664934
29535,11264,4880,60628,14,6,13,0.0,2015-08-24,41.686480700000004,-87.62850990000001
29536,22379,6030,60631,14,3,6,0.0,2016-04-01,41.993029,-87.81075609999998
29537,11270,4884,60636,14,6,18,0.0,2015-08-10,41.7719816,-87.6729074
29538,11274,4888,60629,14,6,18,0.0,2015-08-24,41.7727709,-87.7123355
29539,11277,4891,60617,14,6,18,0.0,2015-08-24,41.7246539,-87.5494745
29540,22388,9989,60608,14,3,6,0.0,2016-03-29,41.849212200000004,-87.6713199
29541,11283,4897,60640,14,18,24,0.0,2015-06-13,41.970313299999994,-87.663045
29542,22404,7744,60630,14,4,6,0.0,2016-03-29,41.9720786,-87.75172950000001
29543,11308,4919,60615,14,18,24,0.0,2015-06-12,41.8003921,-87.603826
29544,11322,4933,60655,14,2,13,0.0,2015-06-12,41.693154299999996,-87.7123355
29545,11330,4941,60606,14,2,24,0.0,2015-06-10,41.8817767,-87.6371461
29546,11343,4953,60632,14,18,24,40.0,2015-06-08,41.8074687,-87.70740889999998
29547,11369,4976,60617,14,2,24,0.0,2015-06-12,41.7246539,-87.5494745
29548,11373,4979,60610,14,2,24,0.0,2015-06-09,41.900309899999996,-87.63338710000002
29549,11394,4999,60652,14,24,24,0.0,2015-06-08,41.7429283,-87.7123355
29550,11411,5015,60637,14,13,18,0.0,2015-06-08,41.7805099,-87.603826
29551,11417,5021,60607,14,13,18,0.0,2015-06-13,41.8733696,-87.65071400000001
29552,11419,5023,60610,14,13,18,0.0,2015-06-11,41.900309899999996,-87.63338710000002
29553,11425,5028,60616,14,6,18,0.0,2015-06-13,41.8403395,-87.6137011
29554,11468,5053,60613,14,6,18,0.0,2015-06-08,41.9577761,-87.6556468
29555,11476,5058,60618,14,6,18,0.0,2015-06-13,41.9464283,-87.70740889999998
29556,11486,5063,60618,14,6,18,0.0,2015-06-08,41.9464283,-87.70740889999998
29557,11495,5068,60636,14,6,18,0.0,2015-06-13,41.7719816,-87.6729074
29558,11514,5080,60643,14,6,18,0.0,2015-06-08,41.677377500000006,-87.6538017
29559,11540,5096,60625,14,6,18,0.0,2015-06-15,41.971106799999994,-87.70248169999998
29560,11552,5101,60616,14,4,6,11.0,2015-06-26,41.8403395,-87.6137011
29561,11570,1821,60611,14,3,6,30.0,2015-07-01,41.892508500000005,-87.61616959999998
29562,11573,1821,60611,14,3,6,25.0,2015-07-10,41.892508500000005,-87.61616959999998
29563,11576,5105,60634,14,3,6,30.0,2015-07-01,41.947969,-87.78617109999998
29564,11598,375,60605,14,18,24,250.0,2015-08-05,41.8703314,-87.62357420000002
29565,11631,795,60605,14,8,11,250.0,2015-08-03,41.8703314,-87.62357420000002
29566,11633,648,60605,14,13,18,250.0,2015-07-06,41.8703314,-87.62357420000002
29567,11646,5109,60625,14,18,24,26.0,2015-06-17,41.971106799999994,-87.70248169999998
29568,11648,1435,60631,14,6,13,15.0,2015-06-24,41.993029,-87.81075609999998
29569,11662,5116,60631,14,24,24,0.0,2015-06-11,41.993029,-87.81075609999998
29570,11689,385,60631,14,18,24,24.0,2015-07-08,41.993029,-87.81075609999998
29571,11710,5139,60631,14,4,6,0.0,2015-07-01,41.993029,-87.81075609999998
29572,11733,395,60622,14,18,24,26.0,2015-07-24,41.90130870000001,-87.68276759999998
29573,11734,395,60622,14,18,24,26.0,2015-06-19,41.90130870000001,-87.68276759999998
29574,11736,5142,60654,14,18,24,26.0,2015-07-23,41.8929153,-87.63591249999998
29575,11737,397,60651,14,18,24,26.0,2015-06-18,41.9024826,-87.7418842
29576,11743,398,60617,14,18,24,26.0,2015-06-15,41.7246539,-87.5494745
29577,11745,399,60616,14,18,24,26.0,2015-06-15,41.8403395,-87.6137011
29578,11759,1436,60616,14,6,13,21.0,2015-06-24,41.8403395,-87.6137011
29579,11769,592,60625,14,12,15,11.0,2015-06-22,41.971106799999994,-87.70248169999998
29580,11786,1445,60656,14,6,13,75.0,2015-06-29,41.9755524,-87.803382
29581,11791,1448,60652,14,7,13,22.0,2015-06-15,41.7429283,-87.7123355
29582,11801,5150,60647,14,18,24,128.0,2015-06-25,41.9215421,-87.70248169999998
29583,11804,5152,60647,14,5,9,0.0,2015-06-13,41.9215421,-87.70248169999998
29584,11812,5157,60649,14,8,24,0.0,2015-06-29,41.759792100000006,-87.56430399999998
29585,11824,898,60608,14,8,24,21.0,2015-08-10,41.849212200000004,-87.6713199
29586,11831,1458,60620,14,7,13,31.0,2015-08-10,41.7470143,-87.6679765
29587,11834,1826,60616,14,1,3,51.0,2015-07-13,41.8403395,-87.6137011
29588,11866,5181,60638,14,8,13,10.0,2015-08-10,41.78874829999999,-87.7664934
29589,11869,5183,60631,14,6,13,21.0,2015-06-22,41.993029,-87.81075609999998
29590,11886,1481,60606,14,6,13,112.0,2015-08-10,41.8817767,-87.6371461
29591,11893,5186,60638,14,6,13,66.0,2015-06-29,41.78874829999999,-87.7664934
29592,11896,5188,60625,14,11,15,20.0,2015-06-29,41.971106799999994,-87.70248169999998
29593,11904,1486,60646,14,3,6,41.0,2015-06-30,41.9920835,-87.7615726
29594,11911,5190,60646,14,9,12,10.0,2015-06-29,41.9920835,-87.7615726
29595,11917,418,60608,14,18,24,21.0,2015-06-15,41.849212200000004,-87.6713199
29596,10791,1811,60646,14,3,6,92.0,2015-06-29,41.9920835,-87.7615726
29597,10795,1813,60614,14,4,6,212.0,2015-06-29,41.9203468,-87.64331390000001
29598,21961,9899,60626,14,3,5,0.0,2016-03-28,42.0099321,-87.663045
29599,21977,7185,60616,14,2,5,0.0,2016-03-29,41.8403395,-87.6137011
29600,21988,8113,60634,14,3,5,0.0,2016-03-30,41.947969,-87.78617109999998
29601,21994,6509,60640,14,2,5,0.0,2016-03-28,41.970313299999994,-87.663045
29602,21996,6099,60640,14,2,5,0.0,2016-03-31,41.970313299999994,-87.663045
29603,22009,6583,60625,14,2,5,0.0,2016-03-28,41.971106799999994,-87.70248169999998
29604,22019,3891,60610,14,3,5,0.0,2016-03-30,41.900309899999996,-87.63338710000002
29605,22050,5152,60647,14,3,5,0.0,2016-03-30,41.9215421,-87.70248169999998
29606,10931,4612,60615,14,2,24,0.0,2015-08-24,41.8003921,-87.603826
29607,10938,4617,60640,14,18,24,40.0,2015-08-24,41.970313299999994,-87.663045
29608,22074,8212,60623,14,3,6,0.0,2016-03-29,41.8475982,-87.7271123
29609,22076,1323,60617,14,3,6,0.0,2016-03-28,41.7246539,-87.5494745
29610,10960,4639,60643,14,18,24,40.0,2015-08-24,41.677377500000006,-87.6538017
29611,22097,9928,60630,14,4,6,0.0,2016-05-02,41.9720786,-87.75172950000001
29612,22100,4358,60660,14,2,6,0.0,2016-04-02,41.9901263,-87.663045
29613,22101,4358,60660,14,2,6,0.0,2016-05-07,41.9901263,-87.663045
29614,10988,4666,60619,14,2,24,0.0,2015-08-10,41.7458012,-87.60876379999998
29615,11002,4680,60616,14,2,24,0.0,2015-08-25,41.8403395,-87.6137011
29616,11004,4682,60641,14,2,24,0.0,2015-08-24,41.9472058,-87.74680710000001
29617,22140,5977,60653,14,3,6,0.0,2016-04-01,41.820267,-87.603826
29618,11045,4720,60655,14,2,6,0.0,2015-08-24,41.693154299999996,-87.7123355
29619,22174,6403,60629,14,3,6,0.0,2016-03-30,41.7727709,-87.7123355
29620,22180,938,60638,14,3,6,0.0,2016-05-02,41.78874829999999,-87.7664934
29621,11070,4744,60652,14,24,24,0.0,2015-08-24,41.7429283,-87.7123355
29622,22198,8034,60647,14,3,6,0.0,2016-03-29,41.9215421,-87.70248169999998
29623,11082,4756,60616,14,24,24,0.0,2015-08-25,41.8403395,-87.6137011
29624,22221,9961,60646,14,3,6,0.0,2016-04-25,41.9920835,-87.7615726
29625,22228,8381,60617,14,3,6,0.0,2016-03-29,41.7246539,-87.5494745
29626,11110,4782,60611,14,13,18,0.0,2015-08-25,41.892508500000005,-87.61616959999998
29627,22235,5962,60630,14,4,6,0.0,2016-04-01,41.9720786,-87.75172950000001
29628,11127,4799,60617,14,13,18,0.0,2015-08-24,41.7246539,-87.5494745
29629,11145,4809,60618,14,6,18,0.0,2015-08-10,41.9464283,-87.70740889999998
29630,11149,4812,60640,14,6,18,0.0,2015-08-24,41.970313299999994,-87.663045
29631,22294,7725,60629,14,3,6,0.0,2016-03-31,41.7727709,-87.7123355
29632,22300,8398,60623,14,3,6,0.0,2016-03-29,41.8475982,-87.7271123
29633,22302,6467,60626,14,3,6,0.0,2016-03-28,42.0099321,-87.663045
29634,11192,4837,60647,14,6,18,0.0,2015-08-29,41.9215421,-87.70248169999998
29635,22310,6465,60631,14,3,6,0.0,2016-04-01,41.993029,-87.81075609999998
29636,22315,8081,60631,14,3,6,0.0,2016-03-29,41.993029,-87.81075609999998
29637,22318,8747,60646,14,4,6,0.0,2016-03-30,41.9920835,-87.7615726
29638,11204,4844,60647,14,6,18,0.0,2015-08-10,41.9215421,-87.70248169999998
29639,11222,4855,60616,14,6,18,0.0,2015-08-10,41.8403395,-87.6137011
29640,11235,4864,60629,14,6,18,0.0,2015-08-10,41.7727709,-87.7123355
29641,11240,4867,60609,14,6,18,0.0,2015-08-29,41.8062766,-87.6482474
29642,22355,8096,60646,14,3,6,0.0,2016-03-29,41.9920835,-87.7615726
29643,11251,4872,60609,14,6,18,0.0,2015-08-10,41.8062766,-87.6482474
29644,11258,4876,60606,14,6,18,0.0,2015-08-24,41.8817767,-87.6371461
29645,22380,6470,60646,14,3,6,0.0,2016-03-28,41.9920835,-87.7615726
29646,22387,7754,60612,14,3,6,0.0,2016-03-31,41.881660600000004,-87.6926257
29647,11302,4914,60617,14,18,24,0.0,2015-06-13,41.7246539,-87.5494745
29648,11307,4919,60615,14,18,24,0.0,2015-06-12,41.8003921,-87.603826
29649,11304,4916,60610,14,18,24,0.0,2015-06-08,41.900309899999996,-87.63338710000002
29650,11319,4930,60630,14,2,24,0.0,2015-06-12,41.9720786,-87.75172950000001
29651,11327,4938,60643,14,2,24,0.0,2015-06-08,41.677377500000006,-87.6538017
29652,22428,7764,60630,14,3,6,0.0,2016-04-07,41.9720786,-87.75172950000001
29653,11375,4981,60642,14,2,6,0.0,2015-06-08,41.90070970000001,-87.65318049999998
29654,11461,5048,60620,14,6,18,0.0,2015-06-08,41.7470143,-87.6679765
29655,11465,5051,60629,14,6,18,0.0,2015-06-13,41.7727709,-87.7123355
29656,11480,5060,60608,14,6,18,0.0,2015-06-08,41.849212200000004,-87.6713199
29657,11488,5064,60630,14,6,18,0.0,2015-06-12,41.9720786,-87.75172950000001
29658,11499,5070,60608,14,6,18,0.0,2015-06-08,41.849212200000004,-87.6713199
29659,11522,5086,60609,14,6,18,0.0,2015-06-13,41.8062766,-87.6482474
29660,11525,5088,60606,14,6,18,0.0,2015-06-08,41.8817767,-87.6371461
29661,11587,375,60605,14,18,24,250.0,2015-07-15,41.8703314,-87.62357420000002
29662,11618,647,60605,14,13,19,500.0,2015-07-20,41.8703314,-87.62357420000002
29663,11656,1822,60629,14,3,6,10.0,2015-06-11,41.7727709,-87.7123355
29664,11685,384,60611,14,18,24,13.0,2015-06-20,41.892508500000005,-87.61616959999998
29665,11750,402,60649,14,18,24,26.0,2015-07-25,41.759792100000006,-87.56430399999998
29666,11823,897,60626,14,8,24,9.0,2015-08-11,42.0099321,-87.663045
29667,11839,5168,60652,14,9,13,11.0,2015-08-04,41.7429283,-87.7123355
29668,11842,5169,60628,14,6,13,6.0,2015-08-10,41.686480700000004,-87.62850990000001
29669,11882,1478,60635,14,8,13,41.0,2015-08-10,,
29670,11919,422,60609,14,18,24,11.0,2015-06-17,41.8062766,-87.6482474
29671,11920,5192,60626,14,18,24,0.0,2015-06-08,42.0099321,-87.663045
29672,11935,5202,60660,14,4,6,33.0,2015-07-02,41.9901263,-87.663045
29673,11945,5204,60647,14,7,11,0.0,2015-06-17,41.9215421,-87.70248169999998
29674,11953,810,60660,14,6,12,31.0,2015-06-15,41.9901263,-87.663045
29675,11976,1612,60609,14,6,18,28.0,2015-06-12,41.8062766,-87.6482474
29676,11983,1618,60620,14,6,18,28.0,2015-06-08,41.7470143,-87.6679765
29677,12010,1642,60628,14,6,18,28.0,2015-06-12,41.686480700000004,-87.62850990000001
29678,12024,1653,60610,14,6,18,28.0,2015-06-08,41.900309899999996,-87.63338710000002
29679,12043,5219,60608,14,14,16,180.0,2015-06-29,41.849212200000004,-87.6713199
29680,12049,608,60623,14,13,16,163.0,2015-06-29,41.8475982,-87.7271123
